F1,F2,F3,F4,F5,F6,F7,F8,Output
0.2708,0.5104,1,23,2,0,0,3,401.75
0.7222,0.5104,1,23,2,0,0,3,401.75
0.7674,0.5104,1,23,2,0,0,3,401.75
0.2708,0.5556,1,23,2,0,0,3,421.32
0.3125,0.7604,1,23,2,0,0,3,463.32
0.3576,0.684,1,23,2,0,0,3,566.75
0.4757,0.684,1,23,2,0,0,3,566.75
0.4757,0.684,1,23,2,0,0,3,589.75
0.3576,0.8993,1,23,2,0,0,3,677.03
0.3576,0.816,2,23,2,0,0,3,1110.53
0.7292,0.7917,0,24,0,0,0,4,206.53
0.6181,0.9375,0,24,2,0,0,4,340.1
0.2708,0.5104,1,24,2,0,0,4,401.75
0.3125,0.6424,1,24,2,0,0,4,401.75
0.3854,0.684,1,24,2,0,0,4,401.75
0.9931,0.4444,1,24,2,0,1,4,405.69
0.6181,0.3264,1,24,2,0,1,4,416.01
0.7222,0.4306,1,24,2,0,1,4,463.32
0.3854,0.7604,1,24,2,0,0,4,463.32
0.7674,0.4306,1,24,2,0,1,4,463.32
0.8507,0.4306,1,24,2,0,1,4,463.32
0.9931,0.4306,1,24,2,0,1,4,463.32
0.2708,0.5556,1,24,2,0,0,4,563.32
0.4236,0.5868,2,24,1,0,0,4,971.52
0.2708,0.5556,2,24,2,0,0,4,1115.32
0.3854,0.7604,2,24,2,0,0,4,1115.32
0.9931,0.4306,2,24,2,0,1,4,1115.32
0.7292,0.7917,0,25,0,1,0,5,206.53
0.7674,0.4306,1,25,2,1,1,5,398.32
0.8125,0.4306,1,25,2,1,1,5,398.32
0.9931,0.4306,1,25,2,1,1,5,398.32
0.7674,0.5729,1,25,2,1,0,5,405.69
0.9931,0.4306,1,25,2,1,1,5,421.32
0.9931,0.5729,1,25,2,1,1,5,428.69
0.6181,0.9722,1,25,2,1,0,5,463.32
0.8507,0.4306,1,25,2,1,1,5,463.32
0.6181,0.9375,1,25,2,1,0,5,530.1
0.3125,0.7604,1,25,2,1,0,5,563.32
0.3403,0.7604,1,25,2,1,0,5,563.32
0.4757,0.7604,1,25,2,1,0,5,563.32
0.2708,0.5104,1,25,2,1,0,5,566.75
0.3125,0.684,1,25,2,1,0,5,566.75
0.3403,0.684,1,25,2,1,0,5,566.75
0.4757,0.684,1,25,2,1,0,5,566.75
0.3125,0.7604,1,25,2,1,0,5,586.32
0.4757,0.684,1,25,2,1,0,5,589.75
0.2708,0.5556,1,25,2,1,0,5,773.32
0.4757,0.8993,2,25,2,1,0,5,1123.03
0.7292,0.7917,0,26,0,1,0,6,206.53
0.9931,0.8993,1,26,2,1,1,6,345.03
0.7674,0.4306,1,26,2,1,1,6,398.32
0.8125,0.4306,1,26,2,1,1,6,398.32
0.8646,0.4306,1,26,2,1,1,6,398.32
0.9931,0.4306,1,26,2,1,1,6,398.32
0.7222,0.5729,1,26,2,1,1,6,405.69
0.7674,0.5729,1,26,2,1,1,6,405.69
0.6181,0.3264,1,26,2,1,1,6,416.01
0.6736,0.3264,1,26,2,1,1,6,416.01
0.9931,0.5729,1,26,2,1,1,6,428.69
0.3125,0.7604,1,26,2,1,0,6,463.32
0.4757,0.7604,1,26,2,1,0,6,463.32
0.4757,0.684,1,26,2,1,0,6,466.75
0.4757,0.7604,1,26,2,1,0,6,486.32
0.2708,0.5729,1,26,2,1,0,6,570.69
0.7292,0.3264,2,26,2,1,1,6,965.45
0.3125,0.7604,2,26,2,1,0,6,1115.32
0.4757,0.7604,2,26,2,1,0,6,1115.32
0.8125,0.4306,2,26,2,1,1,6,1115.32
0.8646,0.4306,2,26,2,1,1,6,1115.32
0.9931,0.4306,2,26,2,1,1,6,1115.32
0.6736,0.3264,2,26,2,1,1,6,1133.01
0.7292,0.7917,0,27,0,1,0,7,126.53
0.6181,0.9375,0,27,2,1,0,7,220.1
0.2708,0.8993,1,27,2,1,0,7,345.03
0.7222,0.4306,1,27,2,1,1,7,398.32
0.4757,0.684,1,27,2,1,0,7,401.75
